Simulation Label ,Ncyt,Nmito,kout,dcyt,kon,koff,kcyt,dmito,kmito,D,Fhydro
Model A,5,100,0.010,1.000,1.000,0.500,1.000,0.000,0.000,0.500,0.000
Model B,5,100,0.900,1.000,1.000,0.500,1.000,0.000,0.000,0.500,0.000
Model C,5,100,0.100,1.000,0.200,0.100,1.000,0.000,0.000,0.500,0.000
Model D,5,100,0.100,1.000,0.100,0.200,1.000,0.000,0.000,0.500,0.000
Model E,5,100,0.100,1.000,1.000,0.500,1.000,0.000,0.000,0.500,0.000
Model F,5,100,0.100,1.000,0.500,1.000,1.000,0.000,0.000,0.500,0.000
Model G,5,100,0.100,1.000,1.000,0.200,1.000,0.000,0.000,0.500,0.000
Model H,5,100,0.100,1.000,0.200,1.000,1.000,0.000,0.000,0.500,0.000
Model I,5,100,0.100,1.000,1.000,0.500,1.000,0.000,0.000,0.500,0.990
Model J,5,100,0.100,1.000,1.000,0.500,1.000,0.000,0.000,0.500,0.010
Model K,5,100,0.100,1.000,1.000,0.500,0.990,0.000,0.000,0.500,0.000
Model L,5,100,0.100,1.000,1.000,0.500,0.010,0.000,0.000,0.500,0.000
Model M,5,100,0.100,1.000,1.000,0.500,1.000,0.000,0.990,0.500,0.000
Model N,5,100,0.100,1.000,1.000,0.500,1.000,0.000,0.010,0.500,0.000
Model O,5,100,0.100,1.000,1.000,0.500,1.000,0.990,0.000,0.500,0.000
Model P,5,100,0.100,1.000,1.000,0.500,1.000,0.010,0.000,0.500,0.000
Model Q,5,100,0.100,1.000,1.000,0.500,1.000,5.000,0.000,0.500,0.000
Model R,5,100,0.100,1.000,1.000,0.500,1.000,5.000,0.200,0.500,0.000
Model S,5,100,0.100,1.000,1.000,0.500,1.000,5.000,0.500,0.500,0.000
